ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,outcome_60d,outcome_90d,outcome_180d,iwm_60d,iwm_90d,iwm_180d
SSP,E.W. Scripps Co,2018-10-18,2018-10-03,2018-10-17,2050629,3,1131.2,$500M-$5B,False,True,12.491345405578612,-4.99,-7.38,0.23,2018-10-25,2018-10-29,2018-11-19,False,,7.94,24.34,-11.39,-6.45,2.43,1.39
SSP,E.W. Scripps Co,2018-10-19,2018-10-04,2018-10-18,2342287,3,1141.8,$500M-$5B,False,True,12.75974178314209,-9.32,-9.32,-1.88,2018-10-26,2018-10-29,2018-11-19,False,,7.75,30.4,-10.86,-4.59,2.59,1.98
SSP,E.W. Scripps Co,2018-10-24,2018-10-09,2018-10-23,2154029,3,1065.6,$500M-$5B,False,True,11.86750316619873,2.81,6.48,4.1,2018-10-31,2018-11-05,2018-11-23,False,,13.09,41.92,-4.23,-0.59,4.27,7.38
SSP,E.W. Scripps Co,2018-10-24,2018-10-10,2018-10-24,2152136,3,1065.6,$500M-$5B,False,True,11.86750316619873,2.81,6.48,4.1,2018-10-31,2018-11-05,2018-11-23,False,,13.09,41.92,-4.23,-0.59,4.27,7.38
SSP,E.W. Scripps Co,2018-10-26,2018-10-11,2018-10-25,2372090,3,1057.6,$500M-$5B,False,True,11.57009220123291,7.77,9.22,6.65,2018-11-02,2018-11-05,2018-11-26,False,,16.45,40.85,-5.35,0.24,4.97,5.91
SSP,E.W. Scripps Co,2018-10-30,2018-10-16,2018-10-30,2164912,3,1096.1,$500M-$5B,False,True,12.201186180114746,4.64,0.18,4.93,2018-11-06,2018-11-09,2018-11-29,False,,14.07,40.22,-8.36,-2.03,3.85,3.62
SSP,E.W. Scripps Co,2018-11-02,2018-10-18,2018-11-01,2179361,3,1139.8,$500M-$5B,False,True,12.636425018310549,-3.27,0.17,1.38,2018-11-09,2018-11-12,2018-12-03,False,,9.57,30.97,-11.0,-2.81,1.47,1.85
SSP,E.W. Scripps Co,2018-11-07,2018-10-23,2018-11-06,1941774,3,1173.7,$500M-$5B,False,True,12.868553161621094,-3.33,-2.71,-4.96,2018-11-14,2018-11-19,2018-12-07,False,,7.89,24.19,-13.22,-3.8,-0.77,1.23
SSP,E.W. Scripps Co,2018-11-08,2018-10-24,2018-11-07,1974761,3,1176.3,$500M-$5B,False,True,12.222949028015137,2.97,2.43,-1.66,2018-11-15,2018-11-19,2018-12-10,False,,6.46,25.16,-12.4,-4.33,-4.12,0.68
SSP,E.W. Scripps Co,2018-11-09,2018-10-25,2018-11-08,2274481,3,1117.3,$500M-$5B,False,True,12.658187866210938,0.23,-1.09,-5.04,2018-11-16,2018-11-19,2018-12-10,False,,11.07,29.08,-8.25,-2.42,-1.88,1.09
