ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,iwm_30d,alpha_30d,alpha_win,year
MIRM,"Mirum Pharmaceuticals, Inc.",2019-07-24,2019-07-22,2019-07-22,108105000,16,322.2,$200M-$500M,False,False,13.779999732971191,-1.96,-3.56,2.9,2019-07-31,2019-08-05,2019-08-23,False,,-7.5226,10.4226,True,2019
CSTL,Castle Biosciences Inc,2019-07-31,2019-07-29,2019-07-29,7355920,3,348.5,$200M-$500M,False,False,21.950000762939453,-9.34,-5.42,27.2,2019-08-07,2019-08-12,2019-08-30,False,,-4.931,32.131,True,2019
FIX,Comfort Systems USA Inc,2019-08-01,2019-07-29,2019-08-01,333863,2,1410.8,$500M-$5B,True,False,39.7530632019043,-1.23,-5.55,-8.8,2019-08-08,2019-08-12,2019-09-03,False,,-4.9452,-3.854800000000001,False,2019
ESPR,"Esperion Therapeutics, Inc.",2019-08-02,2019-07-23,2019-08-01,2330365,2,1040.9,$500M-$5B,True,False,37.59000015258789,0.32,-1.6,-7.1,2019-08-09,2019-08-12,2019-09-03,False,,-3.8799,-3.2200999999999995,False,2019
TEN,Tenneco Inc,2019-08-12,2019-08-07,2019-08-09,755880,2,901.6,$500M-$5B,True,False,10.985129356384276,5.71,9.29,10.36,2019-08-19,2019-08-22,2019-09-11,False,,5.603,4.757,True,2019
QMCO,Quantum Corp /de/,2019-08-13,2019-08-09,2019-08-09,917375,2,4031.7,$500M-$5B,False,False,108.0,7.41,10.37,12.96,2019-08-20,2019-08-23,2019-09-12,False,,4.5052,8.4548,True,2019
RM,Regional Management Corp.,2019-08-16,2019-08-05,2019-08-14,2209679,4,257.0,$200M-$500M,False,False,22.55978202819824,-4.65,-4.58,3.37,2019-08-23,2019-08-26,2019-09-16,False,,6.237,-2.867,False,2019
RRR,"Red Rock Resorts, Inc.",2019-08-16,2019-08-08,2019-08-14,37155186,2,1719.2,$500M-$5B,True,False,15.089441299438477,-0.57,4.46,18.02,2019-08-23,2019-08-26,2019-09-16,False,,6.237,11.783,True,2019
ENR,"Energizer Holdings, Inc.",2019-08-19,2019-08-08,2019-08-15,1050876,4,2033.8,$500M-$5B,True,False,28.56671524047852,1.44,3.91,17.46,2019-08-26,2019-08-29,2019-09-18,False,,4.2563,13.203700000000001,True,2019
SGRY,"Surgery Partners, Inc.",2019-08-21,2019-08-19,2019-08-20,298750,2,303.7,$200M-$500M,True,False,6.260000228881836,0.64,0.32,26.04,2019-08-28,2019-09-03,2019-09-20,False,,3.3582,22.6818,True,2019
FOSL,"Fossil Group, Inc.",2019-08-23,2019-08-21,2019-08-22,2215160,2,545.5,$500M-$5B,True,False,11.489999771118164,11.4,8.09,5.48,2019-08-30,2019-09-03,2019-09-23,False,,6.7936,-1.3135999999999992,False,2019
KLXE,"Klx Energy Services Holdings, Inc.",2019-08-26,2019-08-21,2019-08-22,2093662,2,1155.5,$500M-$5B,True,False,47.900001525878906,2.09,11.17,-3.03,2019-09-03,2019-09-05,2019-09-25,False,,5.177,-8.206999999999999,False,2019
CWH,"Camping World Holdings, Inc.",2019-08-27,2019-08-14,2019-08-23,2829584,2,465.3,$200M-$500M,True,False,5.318408966064453,-1.99,3.97,13.1,2019-09-03,2019-09-06,2019-09-26,False,,5.5683,7.5317,True,2019
RRR,"Red Rock Resorts, Inc.",2019-08-27,2019-08-14,2019-08-23,30134193,2,1841.2,$500M-$5B,True,False,16.209205627441406,-2.22,0.82,-0.66,2019-09-03,2019-09-06,2019-09-26,False,,5.5683,-6.2283,False,2019
RM,Regional Management Corp.,2019-09-04,2019-08-30,2019-08-30,2454925,2,255.6,$200M-$500M,False,False,23.32858085632324,-0.82,-0.04,-5.6,2019-09-11,2019-09-16,2019-10-04,False,,1.2339,-6.8339,False,2019
EWBC,East West Bancorp Inc,2019-09-04,2019-08-27,2019-09-03,1601398,4,4957.7,$500M-$5B,True,False,35.49323272705078,9.41,8.94,0.14,2019-09-11,2019-09-16,2019-10-04,False,,1.2339,-1.0939,False,2019
ESPR,"Esperion Therapeutics, Inc.",2019-09-06,2019-09-04,2019-09-04,2961315,2,975.4,$500M-$5B,True,False,35.34000015258789,3.45,5.83,5.52,2019-09-13,2019-09-16,2019-10-07,False,,-0.3314,5.8514,True,2019
HBT,"Hbt Financial, Inc.",2019-10-18,2019-10-16,2019-10-16,640000,3,332.1,$200M-$500M,False,False,12.596641540527344,1.7,2.9,9.15,2019-10-25,2019-10-28,2019-11-18,False,,3.8726,5.2774,True,2019
VIR,"Vir Biotechnology, Inc.",2019-10-18,2019-10-16,2019-10-16,40000000,2,1494.4,$500M-$5B,False,False,14.40999984741211,1.6,5.14,-10.83,2019-10-25,2019-10-28,2019-11-18,False,,3.8726,-14.7026,False,2019
CABA,"Cabaletta Bio, Inc.",2019-10-31,2019-10-29,2019-10-29,12699995,2,247.6,$200M-$500M,False,False,10.75,2.33,29.49,36.84,2019-11-07,2019-11-11,2019-12-02,False,,3.0492,33.790800000000004,True,2019
ESPR,"Esperion Therapeutics, Inc.",2019-11-08,2019-11-06,2019-11-06,2982460,2,1033.5,$500M-$5B,True,False,38.720001220703125,4.52,14.93,28.18,2019-11-15,2019-11-18,2019-12-09,False,,2.1562,26.0238,True,2019
GRTX,"Galera Therapeutics, Inc.",2019-11-14,2019-11-12,2019-11-12,19999992,3,322.8,$200M-$500M,False,False,11.789999961853027,3.31,6.7,-15.18,2019-11-21,2019-11-25,2019-12-16,False,,4.0362,-19.2162,False,2019
AGIO,"Agios Pharmaceuticals, Inc.",2019-11-15,2019-11-12,2019-11-13,13749957,2,2100.9,$500M-$5B,False,False,36.13999938964844,3.29,4.76,27.03,2019-11-22,2019-11-25,2019-12-16,False,,3.4994,23.5306,True,2019
PTGX,"Protagonist Therapeutics, Inc",2019-12-03,2019-12-03,2019-12-03,322400,2,240.8,$200M-$500M,True,False,8.109999656677246,-7.09,-9.68,-14.55,2019-12-10,2019-12-13,2020-01-02,False,,4.201,-18.751,False,2019
PLCE,"Childrens Place, Inc.",2019-12-17,2019-12-13,2019-12-16,1863774,3,981.8,$500M-$5B,True,False,62.0099983215332,2.52,0.1,5.34,2019-12-24,2019-12-27,2020-01-16,False,,2.9326,2.4074,True,2019
MNPR,Monopar Therapeutics,2019-12-20,2019-12-18,2019-12-18,5002510,2,904.3,$500M-$5B,False,True,108.6999969482422,-8.97,-14.67,-18.58,2019-12-27,2019-12-30,2020-01-21,False,,1.0243,-19.6043,False,2019
VRA,"Vera Bradley, Inc.",2020-01-16,2019-12-24,2019-12-24,31084734,2,384.9,$200M-$500M,False,False,11.140000343322754,-1.89,-8.26,-13.2,2020-01-23,2020-01-27,2020-02-18,False,,-1.1739,-12.0261,False,2020
BDTX,"Black Diamond Therapeutics, Inc.",2020-02-05,2020-02-03,2020-02-03,24599984,2,1300.1,$500M-$5B,False,False,38.7400016784668,-1.83,-8.98,-25.14,2020-02-12,2020-02-18,2020-03-06,False,,-13.6931,-11.446900000000001,False,2020
DCOM,Dime Community Bancshares Inc,2020-02-06,2020-02-05,2020-02-05,450000,2,869.0,$500M-$5B,False,False,24.686824798583984,1.44,-0.8,-27.62,2020-02-13,2020-02-18,2020-03-09,False,,-21.9074,-5.712600000000002,False,2020
NGVT,Ingevity Corp,2020-02-06,2020-02-06,2020-02-06,633327,2,2707.4,$500M-$5B,True,False,66.83999633789062,-0.81,-2.75,-43.61,2020-02-13,2020-02-18,2020-03-09,False,,-21.9074,-21.7026,False,2020
ARQT,"Arcutis Biotherapeutics, Inc.",2020-02-06,2020-02-03,2020-02-04,26501096,3,888.6,$500M-$5B,False,False,26.38999938964844,-0.23,-3.37,7.46,2020-02-13,2020-02-18,2020-03-09,False,,-21.9074,29.3674,True,2020
SPB,"Spectrum Brands Holdings, Inc.",2020-02-13,2020-02-13,2020-02-13,1499652,2,2363.4,$500M-$5B,False,False,52.17049407958984,-0.25,-1.21,-32.03,2020-02-20,2020-02-24,2020-03-16,False,,-38.5227,6.492699999999999,True,2020
R,Ryder System Inc,2020-02-26,2020-02-24,2020-02-25,1005282,2,1646.9,$500M-$5B,True,False,30.88422203063965,-0.22,-16.42,-28.21,2020-03-04,2020-03-09,2020-03-27,False,,-26.8639,-1.3460999999999999,False,2020
NGL,Ngl Energy Partners LP,2020-02-27,2020-02-11,2020-02-25,1518228,2,981.1,$500M-$5B,True,False,7.244317531585693,-13.48,-58.33,-70.71,2020-03-05,2020-03-09,2020-03-30,False,,-22.5246,-48.185399999999994,False,2020
MDRX,"Allscripts Healthcare Solutions, Inc.",2020-03-05,2020-03-05,2020-03-05,363190,2,1174.7,$500M-$5B,True,False,7.639999866485596,-27.88,-32.07,-12.96,2020-03-12,2020-03-16,2020-04-06,False,,-23.2517,10.291699999999999,True,2020
AMG,"Affiliated Managers Group, Inc.",2020-03-05,2020-02-18,2020-03-03,1055106,3,3378.4,$500M-$5B,True,False,70.36897277832031,-28.53,-25.42,-12.55,2020-03-12,2020-03-16,2020-04-06,False,,-23.2517,10.701699999999999,True,2020
NGL,Ngl Energy Partners LP,2020-03-06,2020-02-24,2020-03-06,908372,2,708.7,$500M-$5B,True,False,3.018465757369995,-1.47,-18.82,-41.18,2020-03-13,2020-03-16,2020-04-06,False,,-21.6998,-19.4802,False,2020
RVLV,"Revolve Group, Inc.",2020-03-10,2020-03-06,2020-03-06,2569001,2,859.9,$500M-$5B,True,False,11.100000381469728,-16.94,-30.99,-8.65,2020-03-17,2020-03-20,2020-04-09,False,,-7.6111,-1.0389,False,2020
AMRX,"Amneal Pharmaceuticals, Inc.",2020-03-11,2020-02-28,2020-03-10,3301773,4,1012.6,$500M-$5B,False,False,2.8499999046325684,-7.37,33.68,20.7,2020-03-18,2020-03-23,2020-04-13,False,,-4.0074,24.7074,True,2020
STLD,Steel Dynamics Inc,2020-03-11,2020-02-28,2020-03-10,815672,3,4004.9,$500M-$5B,True,False,16.616609573364258,-17.29,-4.54,27.88,2020-03-18,2020-03-23,2020-04-13,False,,-4.0074,31.8874,True,2020
BHF,"Brighthouse Financial, Inc.",2020-03-11,2020-03-09,2020-03-10,839049,4,2525.5,$500M-$5B,True,False,19.940000534057617,-16.25,-16.3,28.49,2020-03-18,2020-03-23,2020-04-13,False,,-4.0074,32.4974,True,2020
CWH,"Camping World Holdings, Inc.",2020-03-12,2020-03-05,2020-03-12,1919020,2,387.2,$200M-$500M,True,False,5.066285133361816,-42.96,-28.3,0.88,2020-03-19,2020-03-23,2020-04-13,False,,7.9177,-7.0377,False,2020
FUN,Cedar Fair L P,2020-03-12,2020-03-06,2020-03-11,674867,4,1124.0,$500M-$5B,True,False,25.117164611816406,-41.2,-30.62,-22.05,2020-03-19,2020-03-23,2020-04-13,False,,7.9177,-29.9677,False,2020
ARMK,Aramark,2020-03-12,2020-03-11,2020-03-12,1530328,2,4112.6,$500M-$5B,True,False,16.228675842285156,-24.54,-29.78,-7.72,2020-03-19,2020-03-23,2020-04-13,False,,7.9177,-15.637699999999999,False,2020
AMG,"Affiliated Managers Group, Inc.",2020-03-12,2020-03-02,2020-03-12,755006,3,2407.4,$500M-$5B,True,False,57.07181930541992,-3.22,-21.02,10.02,2020-03-19,2020-03-23,2020-04-13,False,,7.9177,2.1022999999999996,True,2020
BG,Bunge Ltd,2020-03-13,2020-02-28,2020-03-13,5080710,2,4594.5,$500M-$5B,True,False,28.256601333618164,-5.53,-2.68,15.78,2020-03-20,2020-03-23,2020-04-13,False,,1.1429,14.6371,True,2020
CLF,Cleveland-Cliffs Inc.,2020-03-13,2020-03-11,2020-03-12,1000508,2,1301.0,$500M-$5B,False,False,3.917158126831055,-19.85,-22.86,13.35,2020-03-20,2020-03-23,2020-04-13,False,,1.1429,12.2071,True,2020
PLNT,"Planet Fitness, Inc.",2020-03-13,2020-03-04,2020-03-12,4873440,2,4665.5,$500M-$5B,True,False,38.79999923706055,-12.55,-3.43,39.64,2020-03-20,2020-03-23,2020-04-13,False,,1.1429,38.4971,True,2020
RILY,"B. Riley Financial, Inc.",2020-03-16,2020-03-09,2020-03-16,312795,2,287.6,$200M-$500M,True,False,11.95742893218994,-22.48,-2.97,-2.07,2020-03-23,2020-03-26,2020-04-15,False,,14.1242,-16.1942,False,2020
NWL,Newell Brands Inc.,2020-03-16,2020-03-05,2020-03-12,39900298,4,3948.0,$500M-$5B,True,False,10.066276550292969,-20.44,6.41,-4.0,2020-03-23,2020-03-26,2020-04-15,False,,14.1242,-18.124200000000002,False,2020
PSN,Parsons Corp,2020-03-16,2020-03-12,2020-03-12,1343773,2,2765.4,$500M-$5B,True,False,29.549999237060547,-8.12,18.38,20.58,2020-03-23,2020-03-26,2020-04-15,False,,14.1242,6.455799999999998,True,2020
MBUU,"Malibu Boats, Inc.",2020-03-16,2020-03-12,2020-03-12,960525,2,568.8,$500M-$5B,True,False,27.850000381469727,-17.06,2.69,-10.77,2020-03-23,2020-03-26,2020-04-15,False,,14.1242,-24.894199999999998,False,2020
THC,Tenet Healthcare Corp,2020-03-17,2020-03-02,2020-03-16,1117754,3,1371.4,$500M-$5B,True,False,11.010000228881836,36.69,54.95,76.2,2020-03-24,2020-03-27,2020-04-16,False,,8.2975,67.9025,True,2020
RHP,"Ryman Hospitality Properties, Inc.",2020-03-18,2020-03-18,2020-03-18,665037,2,646.7,$500M-$5B,True,False,15.63632106781006,72.02,97.34,53.72,2020-03-25,2020-03-30,2020-04-17,False,,22.5687,31.1513,True,2020
SUN,Sunoco LP,2020-03-18,2020-03-12,2020-03-17,449571,3,613.0,$500M-$5B,True,False,9.283679008483888,-5.87,-1.33,34.73,2020-03-25,2020-03-30,2020-04-17,False,,22.5687,12.161299999999997,True,2020
MAC,Macerich Co,2020-03-18,2020-03-12,2020-03-16,384270,2,698.1,$500M-$5B,True,False,5.745473861694336,0.26,-22.05,-9.6,2020-03-25,2020-03-30,2020-04-17,False,,22.5687,-32.1687,False,2020
SEE,Sealed Air Corp/de,2020-03-20,2020-03-05,2020-03-19,793544,3,3323.2,$500M-$5B,False,False,19.79511833190918,11.7,16.27,29.42,2020-03-27,2020-03-30,2020-04-20,False,,19.4146,10.005400000000002,True,2020
CNR,"Cornerstone Building Brands, Inc.",2020-03-20,2020-03-12,2020-03-19,865480,2,742.8,$500M-$5B,False,False,4.066355228424072,-3.4,-14.51,17.01,2020-03-27,2020-03-30,2020-04-20,False,,19.4146,-2.4045999999999985,False,2020
