ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,insider_names
NGM,Ngm Biopharmaceuticals Inc,2019-08-09,2019-07-24,2019-08-07,13073172,3,Column Group L P; Goeddel David V; Svennilson Peter
TEN,Tenneco Inc,2019-08-12,2019-08-07,2019-08-09,755880,2,Hollar Jason M.; Smith Brandon B.
VICI,Vici Properties Inc.,2019-08-13,2019-08-09,2019-08-13,548857,2,Payne John W R; Pitoniak Edward Baltazar
WMGI,Wright Medical Group N.V.,2019-08-13,2019-08-12,2019-08-13,1212742,2,Palmisano Robert J; Regan Barry J.
QMCO,Quantum Corp /de/,2019-08-13,2019-08-09,2019-08-09,917375,2,Dodson J Michael; Lerner James J
PRTY,Party City Holdco Inc.,2019-08-15,2019-08-12,2019-08-15,666609,2,Correale Michael A.; Harrison James M
VRAY,"Viewray, Inc.",2019-08-15,2019-08-13,2019-08-14,741248,2,Drake Scott William; Matin Shahriar
CIT,Cit Group Inc,2019-08-15,2019-08-13,2019-08-14,932122,2,Alemany Ellen R; Fawcett John J.
RM,Regional Management Corp.,2019-08-16,2019-08-05,2019-08-14,2209679,4,"Basswood Capital Management, L.L.C.; Basswood Partners, L.L.C.; Beck Robert William; Schachtel John D."
GE,General Electric Co,2019-08-16,2019-08-12,2019-08-15,6272157,3,Cox L Kevin; Culp H Lawrence Jr; Strazik Scott
RRR,"Red Rock Resorts, Inc.",2019-08-16,2019-08-08,2019-08-14,37155186,2,Fertitta Frank J III; Fertitta Lorenzo J
WH,"Wyndham Hotels &amp; Resorts, Inc.",2019-08-19,2019-08-16,2019-08-16,603333,2,Ballotti Geoffrey A; Wyshner David B
ENR,"Energizer Holdings, Inc.",2019-08-19,2019-08-08,2019-08-15,1050876,4,Gorman Timothy W; Hoskins Alan R.; Kinder Gregory T; Lavigne Mark Stephen
CHNG,Change Healthcare Inc.,2019-08-19,2019-08-15,2019-08-15,1611950,2,De Crescenzo Neil E.; Eliasson Fredrik J
SGRY,"Surgery Partners, Inc.",2019-08-21,2019-08-19,2019-08-20,298750,2,Cowhey Thomas F.; Evans Jason Eric
BHF,"Brighthouse Financial, Inc.",2019-08-23,2019-08-12,2019-08-22,635067,3,Lambert Myles; Murphy Conor; Steigerwalt Eric T
FOSL,"Fossil Group, Inc.",2019-08-23,2019-08-21,2019-08-22,2215160,2,Hart Darren E.; McKelvey Gregory A
OXY,Occidental Petroleum Corp /de/,2019-08-26,2019-08-14,2019-08-23,544125,3,Brown Oscar K; Burgher Cedric W.; Dillon Kenneth
KLXE,"Klx Energy Services Holdings, Inc.",2019-08-26,2019-08-21,2019-08-22,2093662,2,Khoury Amin J; McCaffrey Thomas P
CWH,"Camping World Holdings, Inc.",2019-08-27,2019-08-14,2019-08-23,2829584,2,"Abrams Capital Management, L.P.; Flanigan Melvin"
RRR,"Red Rock Resorts, Inc.",2019-08-27,2019-08-14,2019-08-23,30134193,2,Fertitta Frank J III; Fertitta Lorenzo J
BHF,"Brighthouse Financial, Inc.",2019-08-27,2019-08-14,2019-08-27,565661,3,Lambert Myles; Murphy Conor; Rosenthal John
INTC,Intel Corp,2019-08-29,2019-08-28,2019-08-28,748384,2,Davis George S; Swan Robert Holmes
ABBV,Abbvie Inc.,2019-08-30,2019-08-16,2019-08-29,1500226,2,Donoghoe Nicholas; Stewart Jeffrey Ryan
RM,Regional Management Corp.,2019-09-04,2019-08-30,2019-08-30,2454925,2,"Basswood Capital Management, L.L.C.; Basswood Partners, L.L.C."
USX,Us Xpress Enterprises Inc,2019-09-04,2019-08-29,2019-08-30,411506,2,Fuller Max L; Peterson Eric A.
EWBC,East West Bancorp Inc,2019-09-04,2019-08-27,2019-09-03,1601398,4,Krause Douglas Paul; Ng Dominic; Oh Irene H; Zhou Catherine
ESPR,"Esperion Therapeutics, Inc.",2019-09-06,2019-09-04,2019-09-04,2961315,2,Biotech Target N V; Mayleben Timothy M
